1           1
0.000000000000000E+00  0.000000000000000E+00  0.400000000000000E+01

2           3
0.670031988514056E+00  -.872727407469951E+00  0.863597387692964E+00
0.642452885426967E+00  0.875184291389239E+00  0.881818709142995E+00
-.507927359659030E+00  -.801423837481737E-02  0.225458390316404E+01

3           4
0.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01
0.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01

4           6
0.843486716848955E+00  0.733225086196554E+00  0.389565010914870E+00
0.748176537037237E+00  -.628029428097510E+00  0.618388506866909E+00
-.406185150065611E+00  -.797379854612102E+00  0.702412351422850E+00
-.458109017217254E+00  0.874301724850955E+00  0.524343772763987E+00
0.181699364171394E+00  0.162846601604126E+00  0.122693669505984E+01
-.907719697763725E+00  0.850679480138804E-02  0.538353662971541E+00

5           7
-.194242724732086E-01  0.965896490816806E+00  0.317699958434555E+00
0.194242724732086E-01  -.965896490816806E+00  0.317699958434555E+00
-.779275100271424E+00  0.571019834533176E+00  0.551437495919263E+00
0.779275100271424E+00  -.571019834533176E+00  0.551437495919263E+00
-.769985051620010E+00  -.583486378260079E+00  0.559433974217610E+00
0.769985051620010E+00  0.583486378260079E+00  0.559433974217610E+00
0.000000000000000E+00  0.000000000000000E+00  0.114285714285714E+01

6          10
-.734755076167384E+00  0.893389194164341E+00  0.218050619143420E+00
0.866215298863403E+00  -.703735967051363E+00  0.268779279771573E+00
0.159687365342462E+00  -.908585674928785E+00  0.317765676342778E+00
-.890513771429690E+00  0.164434736850231E+00  0.348723518701376E+00
-.146970784674879E+00  0.535217783554199E+00  0.715928968895985E+00
0.924000925997766E+00  0.487964375088803E+00  0.258691683625119E+00
-.846332498637550E+00  -.839476744821834E+00  0.194254483173642E+00
-.408630848287969E+00  -.426233087000440E+00  0.672372076217102E+00
0.517529465272034E+00  0.917635785070792E+00  0.262607189133304E+00
