0           1
0.000000000000000E+00  0.000000000000000E+00  0.400000000000000E+01

1           3
-.814693561689132E+00  -.574797587089917E+00  0.100443114927516E+01
0.814693561689132E+00  -.574797587089917E+00  0.100443114927516E+01
0.000000000000000E+00  0.579914287777254E+00  0.199113770144968E+01

2           6
-.743551737408875E+00  -.835414156546623E+00  0.389763420166291E+00
0.743551737408875E+00  -.835414156546623E+00  0.389763420166291E+00
0.000000000000000E+00  -.313820821650715E+00  0.126344862932160E+01
-.788993177858118E+00  0.399003692625037E+00  0.724772793430372E+00
0.788993177858118E+00  0.399003692625037E+00  0.724772793430372E+00
0.000000000000000E+00  0.924866359538142E+00  0.507478943485079E+00

3          10
-.875575828665502E+00  -.820838592909709E+00  0.172993797592150E+00
0.000000000000000E+00  -.891707831421607E+00  0.358346772013934E+00
0.875575828665502E+00  -.820838592909709E+00  0.172993797592150E+00
-.549859555829572E+00  -.335155045284002E+00  0.657521935236196E+00
0.549859555829572E+00  -.335155045284002E+00  0.657521935236196E+00
-.945007316493797E+00  0.362027846222523E+00  0.255719456936073E+00
0.000000000000000E+00  0.349274053003466E+00  0.802741777284636E+00
0.945007316493797E+00  0.362027846222523E+00  0.255719456936073E+00
-.566340524298469E+00  0.868422136970280E+00  0.333220535586296E+00
0.566340524298469E+00  0.868422136970280E+00  0.333220535586296E+00

4          15
-.881126245574943E+00  -.936546233832957E+00  0.727819195808429E-01
0.000000000000000E+00  -.921039235297951E+00  0.223337673729818E+00
0.881126245574943E+00  -.936546233832957E+00  0.727819195808429E-01
-.604879049491408E+00  -.640809827099611E+00  0.369430181610125E+00
0.604879049491408E+00  -.640809827099611E+00  0.369430181610125E+00
-.972495219348184E+00  -.213677018752925E+00  0.146753294333099E+00
0.000000000000000E+00  -.238314204796410E+00  0.588691648628844E+00
0.972495219348184E+00  -.213677018752925E+00  0.146753294333099E+00
-.589300572034583E+00  0.240049052124355E+00  0.492116259149914E+00
0.589300572034583E+00  0.240049052124355E+00  0.492116259149914E+00
