1           1
0.000000000000000E+00  0.000000000000000E+00  0.400000000000000E+01

2           4
0.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01
0.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01

3           4
0.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01
0.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01

4           8
0.000000000000000E+00  -.683130051063973E+00  0.816326530612245E+00
-.683130051063973E+00  0.000000000000000E+00  0.816326530612245E+00
0.000000000000000E+00  0.683130051063973E+00  0.816326530612245E+00
0.683130051063973E+00  0.000000000000000E+00  0.816326530612245E+00
-.881917103688197E+00  -.881917103688197E+00  0.183673469387755E+00
-.881917103688197E+00  0.881917103688197E+00  0.183673469387755E+00
0.881917103688197E+00  0.881917103688197E+00  0.183673469387755E+00
0.881917103688197E+00  -.881917103688197E+00  0.183673469387755E+00

5           8
0.000000000000000E+00  -.683130051063973E+00  0.816326530612245E+00
-.683130051063973E+00  0.000000000000000E+00  0.816326530612245E+00
0.000000000000000E+00  0.683130051063973E+00  0.816326530612245E+00
0.683130051063973E+00  0.000000000000000E+00  0.816326530612245E+00
-.881917103688197E+00  -.881917103688197E+00  0.183673469387755E+00
-.881917103688197E+00  0.881917103688197E+00  0.183673469387755E+00
0.881917103688197E+00  0.881917103688197E+00  0.183673469387755E+00
0.881917103688197E+00  -.881917103688197E+00  0.183673469387755E+00

6          12
0.380554433208316E+00  -.380554433208316E+00  0.520592916667394E+00
-.380554433208316E+00  -.380554433208316E+00  0.520592916667394E+00
-.380554433208316E+00  0.380554433208316E+00  0.520592916667394E+00
0.380554433208316E+00  0.380554433208316E+00  0.520592916667394E+00
-.805979782918599E+00  -.805979782918599E+00  0.237431774690630E+00
