1           1
0.000000000000000E+00  0.000000000000000E+00  0.400000000000000E+01

2           4
0.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01
0.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01

3           4
0.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  -.577350269189626E+00  0.100000000000000E+01
-.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01
0.577350269189626E+00  0.577350269189626E+00  0.100000000000000E+01

4           7
-.194242724732086E-01  0.965896490816806E+00  0.317699958434555E+00
0.194242724732086E-01  -.965896490816806E+00  0.317699958434555E+00
-.779275100271424E+00  0.571019834533176E+00  0.551437495919263E+00
0.779275100271424E+00  -.571019834533176E+00  0.551437495919263E+00
-.769985051620010E+00  -.583486378260079E+00  0.559433974217610E+00
0.769985051620010E+00  0.583486378260079E+00  0.559433974217610E+00
0.000000000000000E+00  0.000000000000000E+00  0.114285714285714E+01

5           7
-.194242724732086E-01  0.965896490816806E+00  0.317699958434555E+00
0.194242724732086E-01  -.965896490816806E+00  0.317699958434555E+00
-.779275100271424E+00  0.571019834533176E+00  0.551437495919263E+00
0.779275100271424E+00  -.571019834533176E+00  0.551437495919263E+00
-.769985051620010E+00  -.583486378260079E+00  0.559433974217610E+00
0.769985051620010E+00  0.583486378260079E+00  0.559433974217610E+00
0.000000000000000E+00  0.000000000000000E+00  0.114285714285714E+01

6          12
0.380554433208316E+00  -.380554433208316E+00  0.520592916667394E+00
-.380554433208316E+00  -.380554433208316E+00  0.520592916667394E+00
-.380554433208316E+00  0.380554433208316E+00  0.520592916667394E+00
0.380554433208316E+00  0.380554433208316E+00  0.520592916667394E+00
-.805979782918599E+00  -.805979782918599E+00  0.237431774690630E+00
-.805979782918599E+00  0.805979782918599E+00  0.237431774690630E+00
0.805979782918599E+00  0.805979782918599E+00  0.237431774690630E+00
