1           3
0.000000000000000E+00  0.577350269189626E+00  0.577350269189626E+00
-.500000000000000E+00  -.288675134594813E+00  0.577350269189626E+00
0.500000000000000E+00  -.288675134594813E+00  0.577350269189626E+00

2           6
0.000000000000000E+00  0.837471229251855E+00  0.190442006391806E+00
-.725271359470688E+00  -.418735614625927E+00  0.190442006391806E+00
0.725271359470688E+00  -.418735614625927E+00  0.190442006391806E+00
0.000000000000000E+00  -.390110349270987E+00  0.386908262797819E+00
0.337845472747895E+00  0.195055174635494E+00  0.386908262797819E+00
-.337845472747895E+00  0.195055174635494E+00  0.386908262797819E+00

3          10
-.300946768966144E+00  -.454211094456612E+00  0.179035651150862E+00
0.543831730963232E+00  -.335219998832210E-01  0.179035651150862E+00
-.242884961997087E+00  0.487733094339834E+00  0.179035651150862E+00
0.300946768966144E+00  -.454211094456612E+00  0.179035651150862E+00
0.242884961997087E+00  0.487733094339834E+00  0.179035651150862E+00
-.543831730963232E+00  -.335219998832210E-01  0.179035651150862E+00
0.000000000000000E+00  0.908357899158677E+00  0.104406256693616E+00
-.786661016399677E+00  -.454178949579338E+00  0.104406256693616E+00
0.786661016399677E+00  -.454178949579338E+00  0.104406256693616E+00
0.000000000000000E+00  0.197254324686136E-15  0.344618130582854E+00

4          15
-.485136407912737E+00  -.493917717603331E+00  0.947702297910673E-01
0.670313494780082E+00  -.173181594751495E+00  0.947702297910673E-01
-.185177086867344E+00  0.667099312354826E+00  0.947702297910673E-01
0.485136407912737E+00  -.493917717603331E+00  0.947702297910673E-01
0.185177086867344E+00  0.667099312354826E+00  0.947702297910673E-01
-.670313494780082E+00  -.173181594751495E+00  0.947702297910673E-01
0.000000000000000E+00  0.315747932764574E+00  0.219985912317322E+00
-.273445730966542E+00  -.157873966382287E+00  0.219985912317322E+00
0.273445730966542E+00  -.157873966382287E+00  0.219985912317322E+00
0.000000000000000E+00  -.487667429047530E+00  0.112375175018309E+00
0.422332382153406E+00  0.243833714523765E+00  0.112375175018309E+00
-.422332382153406E+00  0.243833714523765E+00  0.112375175018309E+00
0.000000000000000E+00  0.977154661719694E+00  0.554487222718609E-01
-.846240760475644E+00  -.488577330859847E+00  0.554487222718609E-01
0.846240760475645E+00  -.488577330859847E+00  0.554487222718609E-01

5          21
-.208573984965825E+00  -.509265998728023E+00  0.722221840173125E-01
0.545324284665034E+00  0.740026298150532E-01  0.722221840173125E-01
-.336750299699209E+00  0.435263368912970E+00  0.722221840173125E-01
0.208573984965826E+00  -.509265998728023E+00  0.722221840173125E-01
0.336750299699209E+00  0.435263368912970E+00  0.722221840173125E-01
-.545324284665034E+00  0.740026298150532E-01  0.722221840173125E-01
-.616511985543233E+00  -.505942724530564E+00  0.665208749136110E-01
0.746415245074997E+00  -.280943678952742E+00  0.665208749136110E-01
-.129903259531764E+00  0.786886403483307E+00  0.665208749136110E-01
0.616511985543233E+00  -.505942724530564E+00  0.665208749136110E-01
0.129903259531764E+00  0.786886403483307E+00  0.665208749136110E-01
-.746415245074997E+00  -.280943678952742E+00  0.665208749136110E-01
0.000000000000000E+00  -.246396928179035E+00  0.147249489177250E+00
0.213385999217494E+00  0.123198464089518E+00  0.147249489177250E+00
-.213385999217494E+00  0.123198464089518E+00  0.147249489177250E+00
0.000000000000000E+00  0.475669564401215E+00  0.128860438783993E+00
-.411941926578530E+00  -.237834782200607E+00  0.128860438783993E+00
0.411941926578530E+00  -.237834782200607E+00  0.128860438783993E+00
