1           1
0.000000000000000E+00  0.197254324686136E-15  0.173205080756888E+01

2           3
-.490833459643212E+00  -.303999750374911E+00  0.577350269189626E+00
0.508688236390407E+00  -.273074369890970E+00  0.577350269189626E+00
-.178547767471953E-01  0.577074120265882E+00  0.577350269189626E+00

3           6
-.714909235534118E+00  -.442782016737551E+00  0.186476852630498E+00
0.740915092600685E+00  -.397738551003883E+00  0.186476852630498E+00
-.260058570665669E-01  0.840520567741435E+00  0.186476852630498E+00
0.582320753627075E-01  -.389361472517048E+00  0.390873416559128E+00
0.308080888773326E+00  0.245111192837719E+00  0.390873416559128E+00
-.366312964136034E+00  0.144250279679329E+00  0.390873416559128E+00

4           6
-.714909235534118E+00  -.442782016737551E+00  0.186476852630498E+00
0.740915092600685E+00  -.397738551003883E+00  0.186476852630498E+00
-.260058570665669E-01  0.840520567741435E+00  0.186476852630498E+00
0.582320753627077E-01  -.389361472517048E+00  0.390873416559128E+00
0.308080888773326E+00  0.245111192837719E+00  0.390873416559128E+00
-.366312964136034E+00  0.144250279679329E+00  0.390873416559128E+00

5           7
0.000000000000000E+00  0.803833784768405E+00  0.218133059367231E+00
-.696140478029631E+00  -.401916892384202E+00  0.218133059367231E+00
0.696140478029631E+00  -.401916892384202E+00  0.218133059367231E+00
0.000000000000000E+00  -.473919345231475E+00  0.229313399254730E+00
0.410426192315345E+00  0.236959672615738E+00  0.229313399254730E+00
-.410426192315345E+00  0.236959672615738E+00  0.229313399254730E+00
0.000000000000000E+00  0.197254324686136E-15  0.389711431702997E+00

6          12
-.356222695318569E+00  -.517898832554332E+00  0.996796721871126E-01
0.626624893241639E+00  -.495484872732787E-01  0.996796721871126E-01
-.270402197923070E+00  0.567447319827611E+00  0.996796721871126E-01
-.807717602737280E+00  -.460405892998921E+00  0.918576800688283E-01
0.802582000757766E+00  -.469301016554891E+00  0.918576800688283E-01
0.513560197951413E-02  0.929706909553813E+00  0.918576800688283E-01
0.309400835683576E+00  -.963317579032331E-01  0.233803258131453E+00
-.712746683063754E-01  0.316114862605728E+00  0.233803258131453E+00
-.238126167377200E+00  -.219783104702495E+00  0.233803258131453E+00
-.568046592834165E+00  -.204916150778921E-01  0.152009658802233E+00
0.301769555639110E+00  -.481696972388636E+00  0.152009658802233E+00
0.266277037195055E+00  0.502188587466529E+00  0.152009658802233E+00

7          12
0.309400835683575E+00  -.963317579032331E-01  0.233803258131452E+00
-.712746683063753E-01  0.316114862605728E+00  0.233803258131452E+00
-.238126167377200E+00  -.219783104702494E+00  0.233803258131452E+00
-.568046592834165E+00  -.204916150778924E-01  0.152009658802233E+00
0.301769555639110E+00  -.481696972388636E+00  0.152009658802233E+00
0.266277037195055E+00  0.502188587466529E+00  0.152009658802233E+00
-.807717602737280E+00  -.460405892998921E+00  0.918576800688282E-01
0.802582000757766E+00  -.469301016554891E+00  0.918576800688282E-01
0.513560197951390E-02  0.929706909553813E+00  0.918576800688282E-01
-.356222695318569E+00  -.517898832554331E+00  0.996796721871127E-01
0.626624893241638E+00  -.495484872732783E-01  0.996796721871127E-01
-.270402197923070E+00  0.567447319827611E+00  0.996796721871127E-01

8          16
-.722054884080567E+00  -.130715658249088E+00  0.484206413369115E-01
0.474230522756399E+00  -.559960043415855E+00  0.484206413369115E-01
0.247824361324168E+00  0.690675701664944E+00  0.484206413369115E-01
0.107226602206181E-01  -.436329969855779E+00  0.164788758738768E+00
0.372511508217294E+00  0.227451081075094E+00  0.164788758738768E+00
-.383234168437912E+00  0.208878888780686E+00  0.164788758738768E+00
-.848078295393329E-02  0.563867434583859E+00  0.178876853898729E+00
-.484083131239415E+00  -.289278290774018E+00  0.178876853898729E+00
0.492563914193349E+00  -.274589143809841E+00  0.178876853898729E+00
-.261834320177620E+00  0.678405889399058E+00  0.457383351371642E-01
-.456599574207750E+00  -.565958117555976E+00  0.457383351371642E-01
0.718433894385370E+00  -.112447771843081E+00  0.457383351371642E-01
-.175568046724683E-02  0.979642488529559E+00  0.561775686599947E-01
-.847517441459580E+00  -.491341708150343E+00  0.561775686599947E-01
0.849273121926827E+00  -.488300780379215E+00  0.561775686599947E-01
0.000000000000000E+00  0.197254324686136E-15  0.250044334254174E+00

9          19
-.185124577106029E+00  0.706443362403985E+00  0.749692893328734E-01
-.519235609623732E+00  -.513544267840665E+00  0.749692893328734E-01
0.704360186729762E+00  -.192899094563319E+00  0.749692893328734E-01
-.704360186729762E+00  -.192899094563319E+00  0.749692893328734E-01
0.519235609623732E+00  -.513544267840665E+00  0.749692893328734E-01
0.185124577106029E+00  0.706443362403985E+00  0.749692893328734E-01
0.000000000000000E+00  -.541609467281820E+00  0.542732928333449E-01
0.469047557596213E+00  0.270804733640910E+00  0.542732928333449E-01
-.469047557596213E+00  0.270804733640910E+00  0.542732928333449E-01
0.000000000000000E+00  -.359422221471332E+00  0.134801255248419E+00
0.311268774478810E+00  0.179711110735666E+00  0.134801255248419E+00
-.311268774478810E+00  0.179711110735666E+00  0.134801255248419E+00
0.000000000000000E+00  0.502744366666725E+00  0.137953930529910E+00
-.435389393142902E+00  -.251372183333362E+00  0.137953930529910E+00
0.435389393142902E+00  -.251372183333362E+00  0.137953930529910E+00
0.000000000000000E+00  0.999752958785203E+00  0.443018337803828E-01
-.865811459816642E+00  -.499876479392601E+00  0.443018337803828E-01
0.865811459816642E+00  -.499876479392601E+00  0.443018337803828E-01
0.000000000000000E+00  0.197254324686136E-15  0.168244134395468E+00

10          24
-.526604349151152E+00  0.199908771607747E+00  0.335565225944828E-01
0.901760999239258E-01  -.556007129912141E+00  0.335565225944828E-01
0.436428249227226E+00  0.356098358304395E+00  0.335565225944828E-01
-.758832886046050E+00  -.229152216928208E+00  0.415872733496863E-01
0.577868084216376E+00  -.542592448078838E+00  0.415872733496863E-01
0.180964801829675E+00  0.771744665007046E+00  0.415872733496863E-01
-.272679297570235E+00  -.486882194877180E+00  0.832571020014675E-01
0.557991998199081E+00  0.729389865667071E-02  0.832571020014675E-01
-.285312700628846E+00  0.479588296220510E+00  0.832571020014675E-01
-.460362979812793E+00  -.114036750896318E-01  0.119374334858302E+00
0.240057362230522E+00  -.392984197934966E+00  0.119374334858302E+00
0.220305617582272E+00  0.404387873024598E+00  0.119374334858302E+00
-.175477157149158E+00  0.847566709977551E+00  0.196194042719118E-01
-.646275723667978E+00  -.575751030863821E+00  0.196194042719118E-01
0.821752880817136E+00  -.271815679113730E+00  0.196194042719118E-01
0.255704174214231E+00  -.403422926469039E-01  0.157472523543996E+00
-.929146368279903E-01  0.241617457046698E+00  0.157472523543996E+00
-.162789537386240E+00  -.201275164399793E+00  0.157472523543996E+00
-.893825100673866E+00  -.509971715338944E+00  0.291011643048330E-01
0.888561011031985E+00  -.519089386054279E+00  0.291011643048330E-01
0.526408964188074E-02  0.102906110139322E+01  0.291011643048330E-01
-.609377652875353E+00  -.382822232025837E+00  0.933819442649465E-01
0.636222604505511E+00  -.336325411875672E+00  0.933819442649465E-01
-.268449516301590E-01  0.719147643901510E+00  0.933819442649465E-01

11          27
0.203847768200283E+00  -.542760458961172E-01  0.109567172432659E+00
-.549194495371339E-01  0.203675368714266E+00  0.109567172432659E+00
-.148928318663149E+00  -.149399322818148E+00  0.109567172432659E+00
-.337346451552005E+00  0.496351608407780E+00  0.418955706820716E-01
-.261179876314400E+00  -.540326401124463E+00  0.418955706820716E-01
0.598526327866406E+00  0.439747927166834E-01  0.418955706820716E-01
-.189969000344329E+00  -.396402149025323E+00  0.828240671132149E-01
0.438278831342839E+00  0.336830942829379E-01  0.828240671132149E-01
-.248309830998510E+00  0.362719054742386E+00  0.828240671132149E-01
-.133688676021914E+00  0.837756035414275E+00  0.371815375867860E-01
-.658673670831541E+00  -.534655807340422E+00  0.371815375867860E-01
0.792362346853455E+00  -.303100228073852E+00  0.371815375867860E-01
-.428068616432102E+00  -.285298400378446E-01  0.101531405304171E+00
0.238741874454731E+00  -.356453376374134E+00  0.101531405304171E+00
0.189326741977371E+00  0.384983216411980E+00  0.101531405304171E+00
-.903239650998077E+00  -.518550064514812E+00  0.237671416701126E-01
0.900697354502925E+00  -.522953451212319E+00  0.237671416701126E-01
0.254229649515159E-02  0.104150351572713E+01  0.237671416701126E-01
-.569595362193868E+00  0.861935888161506E-01  0.492343362017782E-01
0.210151843538797E+00  -.536380847945763E+00  0.492343362017782E-01
0.359443518655070E+00  0.450187259129613E+00  0.492343362017782E-01
-.770088473410467E+00  -.283214933161945E+00  0.476849360818802E-01
0.630315563554590E+00  -.525308714554069E+00  0.476849360818802E-01
0.139772909855877E+00  0.808523647716015E+00  0.476849360818802E-01
-.561923524864021E+00  -.352441304284110E+00  0.836641021169525E-01
0.586184885284971E+00  -.310419395374284E+00  0.836641021169525E-01
-.242613604209500E-01  0.662860699658395E+00  0.836641021169525E-01

12          33
-.530136716295412E+00  0.234332092334407E+00  0.131718945218860E-01
0.621308132641485E-01  -.576277909957894E+00  0.131718945218860E-01
0.468005903031263E+00  0.341945817623487E+00  0.131718945218860E-01
-.448132203193277E+00  0.184094957342426E+00  0.633134252927349E-01
0.646351918294854E-01  -.480141350890481E+00  0.633134252927349E-01
0.383497011363792E+00  0.296046393548055E+00  0.633134252927349E-01
-.286846175003820E+00  0.593608671748855E+00  0.335591668702408E-01
-.370657102139336E+00  -.545220410406132E+00  0.335591668702408E-01
0.657503277143156E+00  -.483882613427221E-01  0.335591668702408E-01
-.395557949977789E+00  -.499417988791172E-01  0.904492786195317E-01
0.241029841528903E+00  -.317592333910100E+00  0.904492786195317E-01
0.154528108448885E+00  0.367534132789218E+00  0.904492786195317E-01
0.212189781057121E+00  -.929986141895761E-02  0.109990694528934E+00
-.980409742880683E-01  0.188411671528404E+00  0.109990694528934E+00
-.114148806769053E+00  -.179111810109446E+00  0.109990694528934E+00
-.948153356009913E+00  -.577318195523663E+00  0.499801980658107E-02
0.974048901395441E+00  -.532465795226223E+00  0.499801980658107E-02
-.258955453855279E-01  0.110978399074989E+01  0.499801980658107E-02
-.102145389641702E+00  0.876219253482329E+00  0.367002265501526E-01
-.707755437979882E+00  -.526570129050338E+00  0.367002265501526E-01
0.809900827621584E+00  -.349649124431991E+00  0.367002265501526E-01
-.870464306015293E+00  -.442162003463607E+00  0.289182132118261E-01
0.818155680595353E+00  -.532763200365032E+00  0.289182132118261E-01
0.523086254199401E-01  0.974925203828639E+00  0.289182132118261E-01
-.701834503244309E+00  -.155706180482560E+00  0.473138302359204E-01
0.485762759446296E+00  -.529953418820724E+00  0.473138302359204E-01
0.216071743798013E+00  0.685659599303284E+00  0.473138302359204E-01
-.590470422802992E+00  -.327784323387431E+00  0.740597387005109E-01
0.579104762417306E+00  -.347470224637014E+00  0.740597387005109E-01
0.113656603856866E-01  0.675254548024446E+00  0.740597387005109E-01
-.296150101233664E+00  -.402925498316679E+00  0.748757808513076E-01
0.497018767991580E+00  -.550107618433472E-01  0.748757808513076E-01
-.200868666757915E+00  0.457936260160026E+00  0.748757808513076E-01

13          36
-.394695940604324E+00  -.411275809687643E+00  0.604470049435473E-01
0.553523269453675E+00  -.136178806490116E+00  0.604470049435473E-01
-.158827328849351E+00  0.547454616177760E+00  0.604470049435473E-01
-.482868530482083E+00  0.256853396895110E+00  0.320637952387429E-01
0.189926984815496E-01  -.546603112533099E+00  0.320637952387429E-01
0.463875832000534E+00  0.289749715637990E+00  0.320637952387429E-01
